Date_Purchase	Id_purchase	Id_client	Date_of_birth	Sex_client	Store	Region	Canal	Gender	Type_purchase	Quantity	Discount	Pay	Second_purchase
5/15/2022 0:00	FFQ-1617	0.1071163146	NULL	F	196	BOGOTA	Superdry	MASCULINO	CHAQUETA	1	0	449900	0
2/27/2022 0:00	FPE-521	53709	NULL	M	606	MEDELLIN	Superdry	FEMENINO	BUZO	1	0	299900	0
2/27/2022 0:00	FPE-521	53709	NULL	M	606	MEDELLIN	Superdry	FEMENINO	SANDALIAS	1	0	139900	0
2/27/2022 0:00	FPE-521	53709	NULL	M	606	MEDELLIN	Superdry	FEMENINO	BUZO	1	0	249900	0
2/27/2022 0:00	FPE-521	53709	NULL	M	606	MEDELLIN	Superdry	MASCULINO	ROPA INTERIOR	1	0	169900	0
1/24/2022 0:00	FP -68052	101352847	NULL	No Informado	413	MEDELLIN	Diesel	MASCULINO	JEAN	1	0	699900	0
1/24/2022 0:00	FP -68052	101352847	NULL	No Informado	413	MEDELLIN	Diesel	MASCULINO	JEAN	1	0	649900	0
4/2/2022 0:00	FPE-986	102112793	NULL	M	414	MEDELLIN	Diesel	MASCULINO	CAMISETA	1	0	399900	0
4/2/2022 0:00	FPE-986	102112793	NULL	M	414	MEDELLIN	Diesel	MASCULINO	TENIS	1	0	899900	0
2/26/2022 0:00	FPE-478	110454345	NULL	M	624	BOGOTA	Superdry	MASCULINO	BUZO	1	0	349900	0
5/7/2022 0:00	FPE-988	111833612	NULL	M	606	MEDELLIN	Superdry	MASCULINO	TENIS	1	60487	287920	0
5/7/2022 0:00	FPE-988	111833612	NULL	M	606	MEDELLIN	Superdry	FEMENINO	CHAQUETA	1	117630	559920	0
5/27/2022 0:00	FPE-2152	0011417503-7	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	JEAN	1	0	699900	0
5/27/2022 0:00	FPE-2152	0011417503-7	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	JEAN	1	0	799900	0
2/8/2022 0:00	FPE-1304	114498439	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	JEAN	1	268874	479940	0
2/8/2022 0:00	FPE-1304	114498439	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	JEAN	1	504168	899940	0
5/13/2022 0:00	FPE-487	0011486158-6	28792	F	618	BOGOTA	Superdry	FEMENINO	BUZO	1	0	299900	0
5/16/2022 0:00	FPE-2056	115503435	NULL	F	406	BOGOTA	Diesel	MASCULINO	CAMISETA	1	0	299900	0
4/13/2022 0:00	FPE-264	001160587310-6	44664	No Informado	413	MEDELLIN	Diesel	MASCULINO	CAMISETA	1	0	299900	0
4/13/2022 0:00	FPE-264	001160587310-6	44664	No Informado	413	MEDELLIN	Diesel	MASCULINO	CAMISETA	1	0	249900	0
4/13/2022 0:00	FPE-264	001160587310-6	44664	No Informado	413	MEDELLIN	Diesel	MASCULINO	TENIS	1	0	899900	0
4/13/2022 0:00	FPE-264	001160587310-6	44664	No Informado	413	MEDELLIN	Diesel	MASCULINO	CAMISETA	1	0	249900	0
4/13/2022 0:00	FPE-264	001160587310-6	44664	No Informado	413	MEDELLIN	Diesel	MASCULINO	JEAN	1	0	799900	0
4/17/2022 0:00	FPE-1205	0011630604-4	NULL	M	414	MEDELLIN	Diesel	MASCULINO	JEAN	1	0	1199900	0
4/17/2022 0:00	FPE-1205	0011630604-4	NULL	M	414	MEDELLIN	Diesel	MASCULINO	JEAN	1	0	1099900	0
3/23/2022 0:00	FPE-828	116812843	NULL	No Informado	402	BARRANQUILLA	Diesel	MASCULINO	GORRO	1	0	299900	0
1/24/2022 0:00	FPE-1197	118053378	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	CAMISETA	1	0	299900	0
6/19/2022 0:00	FPE-965	118080753	NULL	F	422	SABANETA	Diesel	MASCULINO	JEAN	1	0	999900	0
6/19/2022 0:00	FPE-965	118080753	NULL	F	422	SABANETA	Diesel	MASCULINO	JEAN	1	0	799900	0
4/15/2022 0:00	FPE-1181	118462282	NULL	M	414	MEDELLIN	Diesel	MASCULINO	CAMISETA	1	0	299900	1
6/17/2022 0:00	FPE-2327	118485309	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	CHAQUETA	1	504168	899940	1
2/27/2022 0:00	FPE-548	118792670	NULL	M	414	MEDELLIN	Diesel	MASCULINO	JEAN	1	0	649900	0
4/30/2022 0:00	FPE-1908	13529101	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	CAMISETA	1	0	299900	0
4/30/2022 0:00	FPE-1908	13529101	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	BUZO	1	0	449900	0
4/30/2022 0:00	FPE-1908	13529101	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	BUZO	1	0	599900	0
4/30/2022 0:00	FPE-1908	13529101	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	JEAN	1	0	1179900	0
4/30/2022 0:00	FPE-1908	13529101	NULL	No Informado	406	BOGOTA	Diesel	FEMENINO	CAMISETA	1	0	299900	0
6/21/2022 0:00	FPE-464	187698	35602	M	417	CARTAGENA	Diesel	MASCULINO	CAMISETA	1	0	249900	1
4/4/2022 0:00	FPE-1238	194317	NULL	M	602	MEDELLIN	Superdry	MASCULINO	CAMISETA	1	23513	111920	0
4/4/2022 0:00	FPE-1238	194317	NULL	M	602	MEDELLIN	Superdry	MASCULINO	CAMISETA	1	25193	119920	0
5/21/2022 0:00	FPE-2114	2257875	NULL	No Informado	406	BOGOTA	Diesel	MASCULINO	TENIS	1	0	849900	0
4/11/2022 0:00	FPE-1131	380808	29413	M	414	MEDELLIN	Diesel	MASCULINO	TENIS	1	0	849900	0
6/14/2022 0:00	FPE-395	4079	28344	M	417	CARTAGENA	Diesel	MASCULINO	JEAN	1	0	1099900	0
6/14/2022 0:00	FPE-395	4079	28344	M	417	CARTAGENA	Diesel	MASCULINO	JEAN	1	0	1099900	0
4/5/2022 0:00	FPE-492	4609121417006	NULL	No Informado	409	CALI	Diesel	MASCULINO	CHAQUETA	1	100824	479920	0
4/5/2022 0:00	FPE-492	4609121417006	NULL	No Informado	409	CALI	Diesel	MASCULINO	BUZO	1	100824	479920	0
4/5/2022 0:00	FPE-492	4609121417006	NULL	No Informado	409	CALI	Diesel	MASCULINO	CAMISETA	1	50403	239920	0
5/6/2022 0:00	FPE-283	6757786013	44687	No Informado	417	CARTAGENA	Diesel	MASCULINO	CAMISETA	1	117614	209940	0
6/16/2022 0:00	FPE-442	7926738	NULL	No Informado	413	MEDELLIN	Diesel	MASCULINO	CAMISETA	1	0	249900	0
6/12/2022 0:00	FPE-631	8136050	NULL	No Informado	481	BOGOTA	Diesel	MASCULINO	JEAN	1	134437	639920	0
